doc_id,major_large,major_small,company,season,job_large,job_small,school,extra_spec,pro_rating,doc_url
3793,인문/사회계열,경영학,현대자동차(주),2020년 하반기,경영·사무,인사·노무·교육,서울4년,"['학점 3.5/4.5', '토스 Level6', '자격증 14개', '해외경험 1회', '수상 11회', '교내활동 2회', '사회활동 5회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239593
3794,자연/공학/의약계열,화학공학/생명공학,(주)LG화학,2018년 하반기,생산·제조,생산관리·공정관리·품질관리,수도권4년,"['학점 3.95/4.5', '토익 940', '오픽 AL', '해외경험 1회', '동아리 1회', '교내활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/198365
3795,인문/사회계열,사회복지학,한국가스공사,2017년 하반기,경영·사무,사무·총무·법무,지방4년,"['학점 3.81/4.5', '토익 825', '자격증 5개']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/192479
3796,기타,기타,GS리테일,2017년 하반기,영업·고객상담,영업관리·지원·영업기획,수도권4년,"['학점 3.5/4.5', '토익 950', '토스 Level8', '동아리 1회', '사회활동 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/194253
3797,자연/공학/의약계열,도시공학,씨제이올리브네트웍스㈜,2016년 하반기,무역·유통,유통·물류·재고,서울4년,"['학점 4.2/4.5', '토익 870', '토스 Level6', '자격증 1개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146783
3798,인문/사회계열,중어/중문,(주)한솔교육,2016년 상반기,마케팅·광고·홍보,마케팅·광고·분석,수도권4년,"['학점 4.2/4.5', '토익 845']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146488
3799,인문/사회계열,경제학,E1,2015년 하반기,경영·사무,재무·세무·IR,지방4년,"['학점 3.9/4.5', '토익 690', '자격증 4개', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144559
3800,인문/사회계열,경영학,NH농협은행,2018년 상반기,경영·사무,사무·총무·법무,대학원,"['학점 4.31/4.5', '토익 950', '토스 Level7', '해외경험 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/196166
3801,인문/사회계열,중어/중문,GS리테일,2015년 하반기,영업·고객상담,영업관리·지원·영업기획,수도권4년,"['학점 4.2/4.5', '토익 845', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143765
3802,기타,기타,(주)LG생활건강,2015년 하반기,생산·제조,생산관리·공정관리·품질관리,초대졸,"['학점 3.8/4.5', '자격증 3개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143901
3803,자연/공학/의약계열,IT/컴퓨터공학,현대오토에버(주),2016년 하반기,IT·인터넷,응용프로그래머,서울4년,"['학점 3.89/4.5', '토익 890', '오픽 IH', '자격증 1개', '해외경험 1회', '인턴 2회', '수상 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/166965
3804,자연/공학/의약계열,건축공학,현대건설(주),2016년 하반기,건설,시공·현장·감리·공무,서울4년,"['학점 4.23/4.5', '토익 890', '토스 Level6', '자격증 1개', '해외경험 2회', '인턴 1회', '수상 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/167011
3805,자연/공학/의약계열,식품영양학,CJ제일제당(주),2021년 상반기,생산·제조,생산관리·공정관리·품질관리,서울4년,"['학점 3.83/4.5', '토익 855', '토스 Level6', '자격증 4개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239875
3806,인문/사회계열,세무/회계,GS리테일,2021년 하반기,경영·사무,경리·회계·결산,지방4년,"['학점 3.14/4.5', '토익 745', '자격증 3개', '인턴 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239289
3807,자연/공학/의약계열,식품영양학,(주)오뚜기,2020년 하반기,생산·제조,생산관리·공정관리·품질관리,서울4년,"['학점 3.83/4.5', '토익 855', '토스 Level6', '자격증 4개']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/239866
3808,인문/사회계열,신문방송/언론정보학,동아제약(주),2015년 상반기,영업·고객상담,제품·서비스영업,서울4년,"['학점 3.5/4.5', '토익 945', '토스 Level7', '자격증 2개', '해외경험 2회', '자원봉사 2회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/145524
3809,자연/공학/의약계열,정보통신학,신한카드(주),2015년 하반기,IT·인터넷,네트워크·서버·보안,수도권4년,"['학점 3.3/4.5', '토익 930', '오픽 AL', '해외경험 2회', '인턴 1회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/144355
3810,자연/공학/의약계열,화학공학/생명공학,코오롱인더스트리㈜,2019년 하반기,생산·제조,생산관리·공정관리·품질관리,수도권4년,"['학점 3.84/4.5', '토익 855', '오픽 IH', '자격증 3개', '해외경험 1회', '인턴 2회', '수상 3회', '동아리 2회', '자원봉사 1회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/201392
3811,자연/공학/의약계열,IT/컴퓨터공학,네이버(주),2016년 하반기,IT·인터넷,응용프로그래머,지방4년,"['학점 4.05/4.5', '토익 730', '오픽 IM2', '자격증 3개', '수상 2회', '자원봉사 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/188456
3812,기타,기타,한화호텔앤드리조트㈜,2015년 하반기,경영·사무,인사·노무·교육,고졸,['자격증 2개'],-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/143933
3813,자연/공학/의약계열,정보통신학,한국가스공사,2016년 하반기,IT·인터넷,네트워크·서버·보안,수도권4년,"['학점 4.02/4.5', '토익 810', '토스 Level6', '자격증 3개', '인턴 1회']",-1.0,https://www.jobkorea.co.kr/starter/PassAssay/View/168011
3814,인문/사회계열,경영학,현대오일뱅크(주),2019년 상반기,경영·사무,사무·총무·법무,서울4년,"['학점 3.65/4.5', '토익 960', '오픽 AL', '해외경험 1회', '인턴 3회', '동아리 2회', '교내활동 2회', '사회활동 3회', '자원봉사 4회']",2.0,https://www.jobkorea.co.kr/starter/PassAssay/View/198850
3815,자연/공학/의약계열,화학공학/생명공학,㈜KT,2016년 상반기,영업·고객상담,제품·서비스영업,지방4년,"['학점 3.9/4.5', '오픽 IH', '자격증 1개', '인턴 4회']",4.0,https://www.jobkorea.co.kr/starter/PassAssay/View/146005
